Price,Close,High,Low,Open,Volume
Ticker,CI,CI,CI,CI,CI
Date,,,,,
1985-01-01,2.239330530166626,2.3366925636304385,2.117627622732797,2.1541387247712143,42825600
1985-02-01,2.4158005714416504,2.4158005714416504,2.2149910895013107,2.2271611142325,72147600
1985-03-01,2.4218862056732178,2.476652472981363,2.3184387886559734,2.403630643959349,52878600
1985-04-01,2.5344412326812744,2.7256035950392037,2.361778583535571,2.448110013963823,28920600
1985-05-01,2.7256040573120117,2.8242685054750796,2.497442653254191,2.528275160985877,45860400
1985-06-01,2.929100275039673,2.947599997904725,2.694772286910245,2.7502710320835786,25702200
1985-07-01,2.732583522796631,3.0133284199463777,2.6452407849007975,2.963418192209605,43011000
1985-08-01,2.7762577533721924,2.8324067841798146,2.6639596917569475,2.738824780578372,25279200
1985-09-01,2.695152759552002,2.7824955540607257,2.6140485065887256,2.776257012515278,27451800
1985-10-01,2.9422013759613037,2.980084088301724,2.670710844092929,2.7275344790736296,26811000
1985-11-01,3.163182497024536,3.1884375686793445,2.9422016496786427,2.9800843655433478,34942500
1985-12-01,3.245260238647461,3.245260238647461,3.081103297414854,3.163181551266237,29510100
1986-01-01,3.3565006256103516,3.6500346467871982,3.190589710892277,3.279926323574253,66080700
1986-02-01,3.484123468399048,3.675558977884103,3.36926225034017,3.36926225034017,53751600
1986-03-01,3.707465648651123,3.943569529463983,3.4330750487440254,3.477743362361618,47965500
1986-04-01,3.220933198928833,3.787817733876708,3.220933198928833,3.7749340497370594,41950800
1986-05-01,3.4141857624053955,3.465720444877043,3.130743902992796,3.220929818481887,60821100
1986-06-01,3.2660233974456787,3.427069736770827,3.040558256993999,3.427069736770827,61949700
1986-07-01,3.1893532276153564,3.345566291869925,3.156808708874525,3.30651313753868,45727200
1986-08-01,3.267460823059082,3.2869876313794855,3.0331409109332976,3.1893544836369965,78220800
1986-09-01,2.8183484077453613,3.2674615193868966,2.792312732257995,3.2544437933756782,57966300
1986-10-01,2.8749544620513916,3.01311032507354,2.8289025077106755,2.848639188637648,44210700
1986-11-01,2.881533145904541,2.9210065059160026,2.690746970826829,2.868375735678478,52686900
1986-12-01,2.8946900367736816,3.046003478678328,2.835480468353008,2.868374773416306,41093100
1987-01-01,3.1541833877563477,3.260653997452176,2.927934113207049,2.927934113207049,52068600
1987-02-01,3.506866216659546,3.573410144663696,2.981168934120172,3.1608376082695377,60492600
1987-03-01,3.3005807399749756,3.546793621112138,3.2939263686551308,3.513521307591753,59838300
1987-04-01,3.2219531536102295,3.470830497549813,3.134509394251576,3.2690378817575,41833800
1987-05-01,3.188321828842163,3.2959447940575153,3.0806993254932595,3.2152276278793073,38844900
1987-06-01,3.4102933406829834,3.457378076861366,3.1883212868903965,3.215227081354086,58032000
1987-07-01,3.402742385864258,3.5796852562876755,3.3755205495823697,3.4435756075826625,44416800
1987-08-01,3.579686403274536,3.783850708101669,3.287050167592348,3.3619107086495874,44805600
1987-09-01,3.5456583499908447,3.60690772602975,3.389132296584657,3.5932965718505723,41357700
1987-10-01,2.9175631999969482,3.72952676069034,2.6285594530049403,3.6056679444817807,60786900
1987-11-01,2.635439395904541,3.027659013053301,2.5803910244408224,2.917562270125864,36747900
1987-12-01,2.4152474403381348,2.669846147116121,2.2707452992334973,2.6216790029899038,133870500
1988-01-01,2.8805577754974365,2.887549634404833,2.454067584296783,2.4890256786382627,31823100
1988-02-01,2.6778006553649902,2.9015334650230575,2.5869093514658688,2.8945418447261364,41755500
1988-03-01,2.6148767471313477,2.7896682758392686,2.593902118944462,2.684793214590976,105082200
1988-04-01,2.527191162109375,2.6762672157344096,2.470400319355039,2.6620693222560203,36204300
1988-05-01,2.6407740116119385,2.6407740116119385,2.4278082161375343,2.527192042801741,31308300
1988-06-01,2.6620700359344482,2.7117623108512783,2.534290666410561,2.6407737993068747,76551300
1988-07-01,2.6758670806884766,2.7558521816863264,2.603153080170853,2.719495181427514,16755300
1988-08-01,2.8721933364868164,2.9230927705764502,2.6758661989267774,2.6758661989267774,29157300
1988-09-01,3.112149238586426,3.2212202271893386,2.835837215816476,2.8576510141083875,35758800
1988-10-01,2.9960813522338867,3.2027078795341652,2.9518044564027384,3.158430476992224,20627100
1988-11-01,2.841111421585083,2.9960813151417303,2.715659964927883,2.988701832594565,17154000
