,CI_Return,SP500_Return
0,,
1,0.07880482085951535,0.008628779996860514
2,0.002519096279514299,-0.0028700134379761044
3,0.0464741187031823,-0.004594275513284174
4,0.07542602375849916,0.05405105444993996
5,0.07466096081774554,0.012134017487352766
6,-0.06709116581554397,-0.0048475783423664875
7,0.01598276144579236,-0.011994517641396585
8,-0.029213783814444394,-0.03472407826012114
9,0.09166404966610031,0.04250881708769816
10,0.07510740864602816,0.06506158659888994
11,0.025947836300982186,0.045061090630958534
12,0.03427780171159811,0.0023665278440403448
13,0.03802258870888453,0.07148927885973944
14,0.06410283168142161,0.052793917786919
15,-0.13123046734075705,-0.0141481360836202
16,0.05999893556961422,0.05022928675463656
17,-0.04339610532946869,0.014109521521153745
18,-0.02347508284548272,-0.05868283142882358
19,0.024490105005435803,0.07119260505765657
20,-0.13744997710278584,-0.08543860347658849
21,0.020084832006740605,0.05472932734943248
22,0.002288274106593935,0.02147719315076868
23,0.004565934245053027,-0.028288271475909732
24,0.08964460708611433,0.13176689368870087
25,0.11181430676231874,0.036923621317010324
26,-0.05882330945634606,0.02638986515783981
27,-0.02382234902253688,-0.011450211572491154
28,-0.010438179316909602,0.006034196283620119
29,0.06962017128660736,0.04791449018971927
30,-0.002214165781179833,0.048223696256938675
31,0.05200041535478639,0.03495884015199979
32,-0.00950587550143056,-0.024166165905701198
33,-0.17714485942942548,-0.21763041421998008
34,-0.09669843796107036,-0.0853488653536516
35,-0.08355037718134717,0.07286147875354443
36,0.1926553476003925,0.04043227059709542
37,-0.07038814560747098,0.04181740262854561
38,-0.023498354183898562,-0.03334326201018556
39,-0.033533353003413535,0.009424743272317793
40,0.044944304651555855,0.003176126477985486
41,0.008064311534749624,0.043256012280601164
42,0.005182825608562869,-0.005411374721492224
43,0.07336921075609859,-0.03860010449258666
44,0.08354448116404178,0.03972933268934309
45,-0.03729509013046506,0.0259644642106176
46,-0.05172420653172771,-0.018890880706211144
47,-0.020779113975303964,0.014687573381001906
48,0.1230172996170753,0.07111479156412925
49,0.019184478063152266,-0.02894414843113058
50,0.0023535940790719856,0.020805961609083434
51,0.025793561570631285,0.05008993717851862
52,0.020882315438848886,0.035137494672926595
53,0.015908629044056433,-0.007924554206930945
54,0.07224014929076628,0.08837025792525588
55,0.052854083304073374,0.01551671822445666
56,0.004016412203295294,-0.006544368276168888
57,0.03417077906345822,-0.02517545094824758
58,0.007829238794089477,0.016541324259951473
59,-0.07572871748860166,0.021416815142801804
60,-0.16034477980135975,-0.06881722621461728
61,0.030380238914015756,0.008539042758088922
62,-0.0049139335096402,0.024254986404143253
63,-0.07791424579390704,-0.02688714062127162
64,0.13043529681272248,0.09198919079889456
65,-0.036058525676569864,-0.008886365681221697
66,-0.04926608896198181,-0.005223158411739148
67,-0.1010635889765189,-0.09431418479162934
68,-0.10650883147694845,-0.051184306456431794
69,-0.08630961420593186,-0.006698212301042394
70,0.17343160418192705,0.05993421454178649
71,0.02830155186564287,0.024827757338752088
72,0.10314236052091452,0.0415177499981747
73,0.10169523678557124,0.06728117681278056
74,0.09230773925399882,0.022202832522041804
75,-0.06112654557896502,0.0003197993624997064
76,0.05583787956020414,0.0386049724936075
77,-0.10336543864945236,-0.04789262897479862
78,-0.02003119692377142,0.04485934295776639
79,-0.05555600525445159,0.019648784624321847
80,0.06470614584837597,-0.019143735843086596
81,0.17003333097912887,0.011834236654519437
82,0.002403336111955534,-0.0439037086263071
83,0.1726620368047156,0.11158785507428148
84,-0.10374291682716286,-0.019923751783923582
85,0.0162032429280774,0.00958954312696414
86,-0.07289252696094117,-0.021831862125327728
87,0.031161910640970403,0.027892713957560433
88,-0.004830903169239065,0.0009639568254422581
89,0.08252452921470055,-0.017358833150663777
90,-0.0037862577445512136,0.039373686063305824
91,-0.06849232100112101,-0.02399753160189122
92,-0.019607841893442113,0.009105593857418937
93,0.042702970993389044,0.002106282691536565
94,0.10462294442309839,0.03026180770368403
95,0.033039791357909465,0.010107766987062838
96,0.0714292783594852,0.007045987892006611
97,-0.006048453404394305,0.010483627595407663
98,0.006085259814837984,0.01869729905188877
99,-0.005654501005131873,-0.02541681016015651
100,-0.03080084105956682,0.02271746278774489
101,0.031779681993574505,0.0007552285391652092
102,-0.020340578694471145,-0.00532704570835929
103,0.09978723466334771,0.03443195614588723
104,0.0038604920649283336,-0.009987930164805037
105,0.04515255021808251,0.019392922751884534
106,-0.057727908125755234,-0.01291062608362914
107,-0.007905605420898909,0.010091174724184526
108,0.11491153650938779,0.032500745519977725
109,-0.05244073546775674,-0.030044997286678532
110,-0.09351167131044036,-0.04574651060635082
111,-0.003035861600622858,0.011530643100964522
112,0.17735094688685327,0.012397144202814125
113,0.05989106246964648,-0.026790823628320082
114,-0.05334643776242176,0.03148990725890011
115,-0.020109519470922876,0.03759869964992624
116,-0.08022355508422874,-0.026877534841474704
117,0.08116033374126119,0.020833815622011143
118,-0.03795020777890834,-0.0395046118788871
119,0.003944431485170208,0.012299117331742826
120,0.07551717086167065,0.024277711761677034
121,0.12014775746492012,0.03607414807259257
122,-0.013201240100240819,0.027329195113380722
123,-0.018548956070506106,0.027960357804911462
124,0.029260223906343086,0.03631171269946476
125,0.038460841831563286,0.021278543431649366
126,0.049262780195230116,0.03177603957520647
127,0.19999980525727468,-0.0003202374774278205
128,0.07622718365459136,0.04009747288732535
129,-0.040645347729444725,-0.004979335189770229
130,0.10971042640316409,0.04104900278106194
131,-0.06136379708874251,0.01744387340596476
132,0.15684032985932217,0.03261738686923121
133,-0.0010538759733982328,0.006933701784703983
